title,cleaned_title
Customer Service (Call Centre),Customer Service
Buyer,Buyer
Office Admin,Office Admin
Associate Engineer (Electrical & Electronics Consumer Products),Associate Engineer
Events Executive [ Bras Basah | Entertainment Company | Operations ] - 9186|,Events Executive Bras Basah
Car Detailing Manager,Car Detailing Manager
Restaurant Manager,Restaurant Manager
Healthcare Accounts Assistant (REDHILL)  #HJW,Healthcare Accounts Assistant
Spa Therapist,Spa Therapist
HR Intern,Hr Intern
2812 - Gui Programmer / Software Engineer [ PC / API / Fix Bug / C# / WPF /,2812
THERAPY AIDE,Therapy Aide
Repair Engineer (6 months Temp),Repair Engineer
Preschool Senior/Cluster Head Principal,Preschool Senior Cluster Head Principal
Tea Lady / General Worker,Tea Lady General Worker
Laboratory Assistant,Laboratory Assistant
Analyst Programmer ,Analyst Programmer
Technical Service Manager – Security/CCTV,Technical Service Manager Security Cctv
Recruitment Consultant/Junior Executive(Olvl/2yrs exp/Central),Recruitment Consultant Junior Executive
Service Coordinator [ Answer Call / Service / Procurement ] 6154,Service Coordinator Answer Call Service Procurement
Design Engineer,Design Engineer
Desktop Support Engineer (ERP)  / East,Desktop Support Engineer East
Staff Engineer - BGA / CSP,Staff Engineer
Electrical Design Engineer X 2 (Electrical / Switchboards / Consoles / Control Panel / Drawing / AutoCAD),Electrical Design Engineer
Executive (Sales/Business Development),Executive
RESTAURANT SUPERVISOR,Restaurant Supervisor
Class 4 Driver,Class Driver
"Electronic Engineer, Integrated Medical Technologies (DxD Hub)",Electronic Engineer Integrated Medical Technologies
Hairstylist Manager,Hairstylist Manager
ZK18 - Quality Engineer (Tuas / $3000),ZK18
Project Manager -PMO (Contract- $6K to $9K),Project Manager
Senior IT Business Analyst,Senior It Business Analyst
Driver Cum Funeral Assistant [Class 3 / Bright Hill] 0129,Driver Cum Funeral Assistant Class Bright Hill
"Marketing Executive [S$3,600 / Bugis / 5days] - 1200",Marketing Executive Bugis
Field Engineer,Field Engineer
Purchaser,Purchaser
MUSIC TEACHER (PRIVATE TUITION),Music Teacher
4301-  Sales Executive [HighEnd Furniture |Outdoor Sales],4301
Senior Sous Chef,Senior Sous Chef
Project Manager  - Payments,Project Manager
BIOLOGY TEACHER,Biology Teacher
"Senior Restaurant Manager ($6,000-$8,000)",Senior Restaurant Manager
Senior / Technician (Electrical),Senior Technician
Secretary to CEO (Shipping MNC) / 1 Year Contract,Secretary Ceo Year
"Customer Service Engineer (Machine Vision Application, Semiconductor)",Customer Service Engineer
Electrical Engineer #65651,Electrical Engineer
F I N A N C E    E X E C U T I  V E,F I N A N C E    E X E C U T I  V E
OPERATION SUPERVISOR,Operation Supervisor
Full Time Customer Service Associate,Customer Service Associate
Marketing and KOL Executive,Marketing And Kol Executive
Business and Marketing Executive (Start-up company),Business And Marketing Executive Start
Temp Admin Assistant (4 months) - $12 per hour #HHLT,Temp Admin Assistant
Senior Production Technician - Oil and Gas / Petrochemical / West,Senior Production Technician
"Assistant Engineer, Test Equipment Support",Assistant Engineer Test Equipment Support
*NEW* PROPOSAL ENGINEER ($4000 to $5300) #NJA (OIL AND GAS INDUSTRY),Proposal Engineer
Accountant #66313,Accountant
Marine Superintendent (LPG),Marine Superintendent
Operations Manager / Assistant Director (Healthcare),Operations Manager Assistant Director
Product Owner – Virtual Client (Citrix),Product Owner Virtual Client
PM Service Engineer,Pm Service Engineer
Sales and Marketing,Sales And Marketing
BUSINESS OPERATIONS INTERN,Business Operations Intern
Lab Technician | Chemical Technician | QC Technician (Woodlands | Training Provided),Lab Technician
Corporate Sales Executive (Hybrid Work Arrangement) #65754,Corporate Sales Executive
Logistic Executive|Warehouse Operation|Tanjong Penjuru| 5 Days [0580],Logistic Executive
workshop admin,Workshop Admin
TCM Therapist 中医治疗师 / 按摩师,Tcm Therapist 中医治疗师 按摩师
Commercial and Operations Manager (Seafreight) / Global MNC / East,Commercial And Operations Manager Global Mnc East
"Assistant Director, Project Management (3 Years Contract)",Assistant Director Project Management
Service Crew (Full-Time),Service Crew
Recruitment Executive|Orchard|Office hours #HST,Recruitment Executive
​​​​​​​Patient Service Associate - 6151,Service Associate
Security Officers in Office (Marina Bay/Shenton Way/Downtown MRT),Security Officers In Office
6723 - Account Executive [Partial Set | AP|AR],6723
"Assistant General Manager/Director, Card Centre",Assistant General Manager Director Card Centre
Financial Controller (Degree / 4-5 Yr Exp / Full Sets / West),Financial Controller Degree
Aircon Servicing Technician,Aircon Servicing Technician
"Sales Executive (Basic + Commission, Electronics products)",Sales Executive
"Account Executive Cum Admin (Urgent/Investment/SME/S$3,200 higher)",Account Executive Cum Admin
Workplace safety and health Officer # Changi East,Workplace Safety And Health Officer Changi East
Devops Engineer,Devops Engineer
Call Centre Associate ( 1.5 Months Extendible / No experience required - on job training provided ) #HMN,Call Centre Associate Months Extendible No Experience Required
"IT Support Executive ( Level 1,2 & POS support, Office hrs,Retail, East)",It Support Executive
Site Engineer cum PE Assignee #MAINCON,Site Engineer Cum Pe Assignee
[Entry Level] Assembly Operator/ QC Technician - Basic + Allowance + OT [R22107578],Assembly Operator Qc Technician
"Engineer (Oil and Gas, Pioneer)",Engineer
Operator (Distribution Centre),Operator
HR Executive / (HR Business Partner ) Bonus up to 3 month,Hr Executive Month
Ground Support Equipment Techncians,Ground Support Equipment Techncians
Senior Resident Engineer,Senior Resident Engineer
Senior HR Recruitment Consultant,Senior Hr Recruitment Consultant
"Business Support cum Secretary (West, up to $8,000)",Business Support Cum Secretary
Operation Executive - Nursing Home | Office hour,Operation Executive
Personal Assistant / Office (No need experience),Personal Assistant Office
Desktop Support Engineer (West Side),Desktop Support Engineer
Full Time/Casual Kitchen Assistant,Casual Kitchen Assistant
Temp Staff (2)-collection of data in schools,Temp Staff
"Lead, Business Solution",Lead Business Solution
Staff Nurse | O&G/IVF | Registered Nurse | Mount Elizabeth - 4769,Staff Nurse
Unix Engineer (Server Build Project),Unix Engineer
"Assistant Manager, Clinical Administrative Office",Assistant Manager Clinical Administrative Office
Food Outlet Manager,Food Outlet Manager
Software Developer (SQL/ .Net),Software Developer
Senior/ Executive (Home Care),Senior Executive
Airfreight Officer [Changi | WMS | Custom Permit Declaration] 0129,Airfreight Officer Changi
Admin Assistant,Admin Assistant
Accountant,Accountant
Project Engineer,Project Engineer
Front desk Receptionist,Front Desk Receptionist
"1 Year Contract Senior Bank Project Business Analyst - SharePoint, DocuSign (up to $6,400) #BLM",Year Senior Bank Project Business Analyst
(JC) Van Sales Representative (Woodlands),Van Sales Representative
Customer Service Officer (Call Centre) 1 Year Contract /  5.5 Days,Customer Service Officer Year Days
Digital Marketing Executive / 5 days / Attractive Salary Package/Immediate,Digital Marketing Executive Days Attractive
AV Technician,Av Technician
Customer Service - Fintech,Customer Service
Senior / Engineer - Mechanical Design,Senior Engineer
Digital Marketing Specialist #65629,Digital Marketing Specialist
CHEF,Chef
Retail Intern (Part Time),Retail Intern
F&B Outlet Assistant,Outlet Assistant
Transport Coordinator,Transport Coordinator
Customer Support Officer,Customer Support Officer
Preschool Teacher #64701,Preschool Teacher
Waiter / Waitress,Waiter Waitress
Electrical Engineer / Electrical Engineer / Project  – Smart Grid & Metering/ ( Junior / Entry level),Electrical Engineer Electrical Engineer Project Smart Grid Metering
Production Supervisor (12 hours shift),Production Supervisor
ACCOUNTS MANAGER/SALES ENGINEER [Job Code 2104417C],Accounts Manager Sales Engineer Code
FOOT REFLEXOLOGIST,Foot Reflexologist
"Assistant Sales Manager (Mon-Fri, based in HQ office)",Assistant Sales Manager Mon
"Core Java, Selenium automation developer",Core Java Selenium Automation Developer
Primary Classroom SEN Teacher,Primary Classroom Sen Teacher
Project Architect - Rail/Infra Projects (Airport) Up to S$6000,Project Architect
Admin Executive (Insurance),Admin Executive
Material Handle Assistant (Up to $2600),Material Handle Assistant
Retail Associate (Part-Time),Retail Associate
Temp Sports Event Staff @ Takashimaya / 31 Aug ~ 18 Sep / No Exp + Quick Hire,Temp Sports Event Staff Takashimaya Aug Sep No Exp Quick Hire
Customer Service [ Freight forward / Bukit Merah / zr328 ],Customer Service Freight Forward Bukit Merah
Costing/Billing Officer [Up $3500 / Changi Air Freight/ 5 Days Work Week/ Logistics] - FA1,Costing Billing Officer Changi Air Freight Days Work Week Logistics
Accounts Assistant /Executive #OPK,Accounts Assistant Executive
Food Server,Food Server
"Manager, Redevelopment ((Hospital)",Manager Redevelopment
Marketing Senior Executive,Marketing Senior Executive
Store Manager - Luxury Retail,Store Manager
7048 - Account Assistant,7048
Merchandiser,Merchandiser
Customer Service Executive (Chemical industry) #51876,Customer Service Executive
Finance Manager (Project Accounting / Medical Industry),Finance Manager
Business Development Manager,Business Development Manager
Foodcourt Chef,Foodcourt Chef
Operating Theatre Assistant (Healthcare Support) - 2323,Operating Theatre Assistant
Recruitment Manager (Start-up Expansion),Recruitment Manager Start
English Teacher,English Teacher
"Senior Manager, Strategy, Asia Pacific Field Division",Senior Manager Strategy Asia Pacific Field Division
Admin Staff,Admin Staff
IT Operations Assistant,It Operations Assistant
Temp Admin Assistant (No need experience) / Office Hours / $100 per day / 3 months / West,Temp Admin Assistant Office Hours Per Day Months West
Gas & Carbon Market Analyst,Gas Carbon Market Analyst
Preschool Educator,Preschool Educator
Senior SEO Specialist,Senior Seo Specialist
HAIRSTYLIST,Hairstylist
Warehouse Management Assistant / West,Warehouse Management Assistant West
SUPERVISOR,Supervisor
"Social Worker (Islandwide, Office hours) #HJX",Social Worker
Supervisor - Maintenance (Electrical & Instrumentation),Supervisor
IT Security Governance & Risk Specialist,It Security Governance Risk Specialist
Web Developer & Full-Stack Coding Intern,Web Developer
6154 - Field Service Engineer [ Security / Networking / Class 3 ],6154
Structural Steel Detailer,Structural Steel Detailer
System Analyst (Payment),System Analyst
HR Executive,Hr Executive
WSHO-cum-ECO,Wsho
Technology Delivery Manager,Technology Delivery Manager
Production Support Analyst (Bank) (JT),Production Support Analyst
SOC L3 Analyst,Soc Analyst
Application Support Engineer (SAP FICO),Application Support Engineer
Developer – Mobile,Developer Mobile
GENERAL MANAGER,General Manager
Manager – Equipment Management,Manager Equipment Management
"Executive, Healthcare Admin (Office Hours) #HYN",Executive Healthcare Admin
Customer Support Assistant,Customer Support Assistant
DRIVER,Driver
Personal Assistant,Personal Assistant
Baker,Baker
Service Crew,Service Crew
Aircraft Maintenance Engineers,Aircraft Maintenance Engineers
Accounts Executive,Accounts Executive
Software Developer #IJU,Software Developer
"IT Project Engineer (SI, East)",It Project Engineer
Executive Host - Loyalty Club,Executive Host
Materials Purchasing Specialist | Purchasing Executive | Logistics Coordinator (Marine Spart Parts | Manufacturing),Materials Purchasing Specialist
Clinic Assistant / Patient Service Associate (Office hours) #HJO,Clinic Assistant Patient Service Associate
"Business Acquisition Manager (Vietnamese, English) - Singapore",Business Acquisition Manager
GAME SOUND ARTIST,Game Sound Artist
Accounts cum Admin Assistant [Woodlands | Partial Set] 0129,Accounts Cum Admin Assistant Woodlands
Sales Operations Assistant,Sales Operations Assistant
Application Support Engineer #IKR,Application Support Engineer
Host,Host
"Associate, Product Compliancece",Associate Product Compliancece
Business Analyst Tax and Treasury (12 months contract),Business Analyst Tax And Treasury
Information Security Analyst,Information Security Analyst
General Manager (Bar Set Up / Up $15000 / 5 Days Work/MNC) - WL,General Manager
Table Top Cleaner (East/ Full Time),Table Top Cleaner
Guest Relations Officer,Guest Relations Officer
family office assistant,Family Office Assistant
M&E Engineer [ Lighting Contractor ] | 6597,Engineer Lighting Contractor
Senior Instrumental & Control Engineer,Senior Instrumental Control Engineer
7506 - Specialty Chef (Wok) - Cantonese Cuisine,7506
Stall Assistant / 摊位助理,Stall Assistant 摊位助理
Warehouse Assistant / Logistic Officer/ Senior Warehouse,Warehouse Assistant Logistic Officer Senior Warehouse
Senior Machinist [ Precision Engineering / Manufacturing ] 6154,Senior Machinist Precision Engineering Manufacturing
Supply Chain Coordinator - Jurong Island /Co. tpt at Jurong Island & Lakeside / Basic + Allowance + AWS + 3/4 Months Bonus,Supply Chain Coordinator
"Structural Engineer, Design (MNC/Central)",Structural Engineer Design
Clinic Assistant,Clinic Assistant
"Senior Veterinary Assistant, National Large Animal Research Facility",Senior Veterinary Assistant National Large Animal Research Facility
Architectural Drafter,Architectural Drafter
Secretary / Executive Assistant to Director,Secretary Executive Assistant Director
Senior Lift Technician,Senior Lift Technician
Dance Instructors - Part Time/ full time,Dance Instructors
PreSchool Cleaner,Preschool Cleaner
Part-Time Dishwasher,Part
Accounts Executive,Accounts Executive
DRIVER,Driver
PROJECT ENGINEER,Project Engineer
HR Recruitment Trainee,Hr Recruitment Trainee
Head of Credit Administration,Head Of Credit Administration
"Logistics Officer (Maritime, up to $2,500)",Logistics Officer
assistant chef,Assistant Chef
Telemarketer,Telemarketer
IT Operation Executive,It Operation Executive
"Production Planning Coordinator (West, Manufacturing MNC)",Production Planning Coordinator
Safety Officer,Safety Officer
Audit Associate,Audit Associate
Full Stack Developer,Stack Developer
Business Analyst,Business Analyst
Channel Partner Manager,Channel Partner Manager
"Assistant Production Engineer (East, Fresh welcome)",Assistant Production Engineer
"Senior Coordinator, Air Freight Export",Senior Coordinator Air Freight Export
Hemodialysis Staff Nurse,Hemodialysis Staff Nurse
SUPERVISOR,Supervisor
Fundraising Manager #HYS,Fundraising Manager
(CENTRAL) (HOSPITAL SETTING) Temp Triage Staff needed (Until 12 September 2023) #HJCT,Temp Triage Staff Needed
Invigilator - Examinations Department,Invigilator
HR Executive (Talent Acquisition & Training),Hr Executive
Warehouse Executive #64841,Warehouse Executive
Senior Legal Counsel (Education),Senior Legal Counsel
Pest Control Technician Cum Driver,Pest Control Technician Cum Driver
Manager / Senior Manager (HRBP)/One year contract/Kent Ridge/up to $8k,Manager Senior Manager One Year Kent Ridge
Windows Systems Engineer,Windows Systems Engineer
Part time Admin,Admin
TECHNICIAN | 5-DAY | SYSTEM TESTING | ENTRY LEVEL,Technician
QA Lead,Qa Lead
Preschool Principals #SKL,Preschool Principals
Digital Marketing Executive,Digital Marketing Executive
Manufacturing cum Maintenance Engineer #65661,Manufacturing Cum Maintenance Engineer
Store Manager/ Supervisor/ Asst Mgr - Beauty Products,Store Manager Supervisor Asst Mgr
Assistant Electrical Engineer,Assistant Electrical Engineer
Customer Service Officer #65205,Customer Service Officer
"Manager / Assistant Director, Buildings & Facilities Management Projects (Development & Estate Department) [NIE]",Manager Assistant Director Buildings Facilities Management Projects Nie
Accounts ExecutiveAccounts (AR),Accounts Executiveaccounts
Medical GP Clinic Assistant (Upper Serangoon View),Medical Gp Clinic Assistant
Software Developer,Software Developer
Preschool Assistant Teacher (Bukit Timah) - 1200,Preschool Assistant Teacher
BARISTA,Barista
"🧹 Cleaner (Office, Hotel, Condo) @ multiple locations🧹➤ Up $1720 - mtc010",Cleaner Multiple
Grinding Technician #64856,Grinding Technician
ACMV Technician,Acmv Technician
Senior E-Commerce Specialist,Senior
Admin Assistant (Science Industry) / End of Year Contract / Part time / Central / Global MNC,Admin Assistant End Of Year Central Global Mnc
Warehouse Assistant -$2500 -0808,Warehouse Assistant
Telecom Customer Experience Specialist,Telecom Customer Experience Specialist
Preschool Teachers (English/Chinese/ Islandwide),Preschool Teachers
Restaurant Supervisor (F&B - Crossroads Buffet),Restaurant Supervisor
Accounts Assistant (Simple Duties/AR/AP/Invoice/Sin Ming Ln),Accounts Assistant
Sales Manager (Logistics/ Freight Forwarding) #65009,Sales Manager
Deputy Boutique Manager (Cartier - Changi Airport Terminal 3),Deputy Boutique Manager Cartier
6723 - Diagnostic Radiographer [ up to $5000 | AHPC | Orchard | General X-Ray | Radiology ],6723
"Shipping Port Coordinator (Norway MNC) $3,200",Shipping Port Coordinator
site engineer,Site Engineer
Marketing Executive,Marketing Executive
Project Engineer [ M & E / Interior Design Out Fit / ACMV / Electrical / Fire Protection System / Plumbing / ZR328 ],Project Engineer Interior Design Out Fit Acmv Electrical Fire Protection System Plumbing
"Post Doctoral Fellow, Laboratory of Translational Cancer Biology, GIS",Post Doctoral Fellow Laboratory Of Translational Cancer Biology Gis
Assistant Engineer / Project Engineer – Protection Systems/ ( Junior / Entry level),Assistant Engineer Project Engineer Protection Systems
Technician ( Up to $2500 / Training Provided / NTC / Nitec / Diploma) - 1111,Technician
Counter Staff (Customer Service) #65780,Counter Staff
"Principal Software Engineer, Network Technology - Singaporeans only",Principal Software Engineer Network Technology
GENERAL MANAGER,General Manager
Wholesale Trade Manager,Wholesale Trade Manager
Operations Manager,Operations Manager
Operations Manager (Events),Operations Manager
"Assistant Manager/ Manager, Human Resources",Assistant Manager Manager Human Resources
Accounts and Admin Executive,Accounts And Admin Executive
Shipping Coordinator,Shipping Coordinator
"Programmer, Digital Solutions",Programmer Digital Solutions
IT Retail Associate,It Retail Associate
Finance Manager,Finance Manager
Recruitment Manager (Start-up Expansion),Recruitment Manager Start
Administrative Executive,Administrative Executive
WAREHOUSE ASSISTANT (URGENT HIRING/WEST - PANDAN LOOP/ 6 DAYS),Warehouse Assistant West
HSE Engineer (Manufacturing MNC),Hse Engineer
(JC) Sales Engineer (SEMICON),Sales Engineer
Senior HR Recruitment Consultant,Senior Hr Recruitment Consultant
INTERIOR DESIGNER,Interior Designer
SAP HCM Consultant,Sap Hcm Consultant
Planning Manager - FMCG/ West #HZO,Planning Manager
Salon Manager,Salon Manager
HR Compliance (1 year contract) #jl,Hr Compliance
Restaurant Supervisor,Restaurant Supervisor
SPA THERAPIST,Spa Therapist
Office Attendant,Office Attendant
Software Developer (Back-End),Software Developer Back
Supervisor and Formwork Foreman,Supervisor And Formwork Foreman
Telesales Representative,Telesales Representative
Test Program Manager,Test Program Manager
Project Coordinator,Project Coordinator
Information Technology Application Production Support Engineer (12 Hours Shift),Information Technology Application Production Support Engineer
Product Marketing Manager,Product Marketing Manager
Prime Mover Driver,Prime Mover Driver
IT Tech Risk GRC - Tech Compliance Manager,It Tech Risk Grc
"Manager, Credit Solutions",Manager Credit Solutions
Receptionist (Preschool),Receptionist
Transformation manager,Transformation Manager
SENIOR INTERIOR DESIGNER,Senior Interior Designer
Data Analyst,Data Analyst
Supervisor,Supervisor
Lab Assistant (No experience needed - Training Provided) (1 Year Contract) / Global MNC,Lab Assistant No Experience Needed
6723 - Invoice Assistant [AR| Tanjong Pagar],6723
Project Executive - JH (842),Project Executive
Executive Assistant,Executive Assistant
Business Analyst-  Environmental Social Governance (ESG),Business Analyst
Structural Supervisor (For Dimensional Controller),Structural Supervisor
Admin Assistant (Project) / Oil & Gas MNC / West / ASAP - End Dec,Admin Assistant Oil Gas Mnc West Asap
DELIVERY DRIVER,Delivery Driver
Information and Cyber Security Lead,Information And Cyber Security Lead
"Mechanical Design Engineer (Semiconductor, Die Sorter)",Mechanical Design Engineer
Clinic Assistant @ Siglap/Bedok,Clinic Assistant Siglap Bedok
"Accounts Executive (Accounts Receivable, Pasir Panjang)",Accounts Executive
ICT Admin Assistant (Primary School @ North) | up to $2.3k | till Dec 2024,Ict Admin Assistant
Cafe Barista / Service Crew,Cafe Barista Service Crew
Inside Sales Coordinator (ORDER PROCESSING-SAP)- Up to $4200,Inside Sales Coordinator Order Processing
Ops Support Analyst - Trade (MNC|Bank|Up to $3.6k),Ops Support Analyst
Delivery Driver cum Warehouse Assistant,Delivery Driver Cum Warehouse Assistant
Proposal Manager #65694,Proposal Manager
HR cum Admin Executive (Full Spectrum),Hr Cum Admin Executive
Senior Payroll Executive,Senior Payroll Executive
Sales Application Engineer - 9028,Sales Application Engineer
System Analyst (DB2),System Analyst
Sales and Business Development Executive,Sales And Business Development Executive
Assistant Quantity Surveyor,Assistant Quantity Surveyor
*Perm* Account Payable Manager (Shared Services) - (up to $7000) #NJE,Account Payable Manager
BUSINESS DEVELOPMENT MANAGER,Business Development Manager
(W) Plant Engineer - Japanese Speaking @ Jurong Island,Plant Engineer
QA / RA Specialist (Life Science) No Experience Needed,Qa Ra Specialist No Experience Needed
Barista 咖啡师,Barista 咖啡师
Project Engineer (Fresh Graduate Are Welcome),Project Engineer
Risk Analyst,Risk Analyst
Admin Executive - 9028,Admin Executive
Hourly Paid Teacher,Hourly Paid Teacher
"Utility Supervisor (RES, LTA Project, 6 days)",Utility Supervisor
Telemarketing $2792 Basic + High Annual Bonus,Telemarketing High Annual
ZK18 - Senior Accounting Associate / Supervisor (Accounting Firm / Full Sets),ZK18
"Project Engineer (West, CCTV, Class 3)",Project Engineer
ASSISTANT COOK,Assistant Cook
Solution Architect - API,Solution Architect
MULTI OUTLET MANAGER,Multi Outlet Manager
Operations & Confirmations Analyst,Operations Confirmations Analyst
Assistant Engineer / Engineer (Plating),Assistant Engineer Engineer
1415 - Delivery Assistant cum Chemical Packer ($2400) (Senoko),1415
PEGA DEVELOPER,Pega Developer
"Secretary cum Admin (Assistant to CEO) - Up to $5,000 + Performance Bonus",Secretary Cum Admin
Network Security Engineer,Network Security Engineer
SAP FICO Consultant (APAC Project),Sap Fico Consultant
"6 Months Contract ,Snr Executive, Value Management Unit #HYS",Months Snr Executive Value Management Unit
FOOD STALL ASSISTANT,Food Stall Assistant
1013  Sci Lab Asst (School/Tampines),Sci Lab Asst
Physiotherapist/ Senior PT (Multiple Locations),Physiotherapist Senior Pt
Logistics Admin,Logistics Admin
Healthcare Assistant,Healthcare Assistant
Senior Technical Lead Consultant - Oracle Fusion Middleware and ESB Developer,Senior Technical Lead Consultant
F&B EXECUTIVE,Executive
Product Specialist - HPLC,Product Specialist
Warehouse Assistant 货仓助理,Warehouse Assistant 货仓助理
SALES SUPERVISOR,Sales Supervisor
MANAGER,Manager
Project Coordinator,Project Coordinator
Legal Contracts Manager (Construction),Legal Contracts Manager
Junior / Senior Talent Acquisition (Training provided) Basic + Sales Incentives,Junior Senior Talent Acquisition Sales Incentives
Accounts Executive (Immediate) ,Accounts Executive
"Public Relations Officer (LTA, 5 days)",Public Relations Officer
Sales Executive (North),Sales Executive
Research Assistant - Mid Size Molecule,Research Assistant
Piping Engineer/Water Treatment MNC / South,Piping Engineer Water Treatment Mnc South
Full stack Developer (JavaScript),Stack Developer
Software Developer (Calypso) 2875,Software Developer
MANAGER,Manager
Account Assistant (AR) - Up to $3.3K (Healthcare) #HKH,Account Assistant
AS400 System Engineer (Yishun),System Engineer
3063-Assistant HR Manager (Compensation & Benefit Specialist),3063
Sous Chef,Sous Chef
"Sample Collection Specialist ( Science related Job, Pharma MNC, East Area ) #HMA",Sample Collection Specialist
Assistant Admin Manager (Regional Internal Audit/ Business Travel / Central) SW5,Assistant Admin Manager
Wine Sommelier cum Operation Manager,Wine Sommelier Cum Operation Manager
Draftsman,Draftsman
Tuina Massage Therapist | 5 days | Up to $3000 + Comm | Near to MRT,Tuina Massage Therapist
Operations Administrator (Coordinator),Operations Administrator
Senior Accountant - China / Regional,Senior Accountant
CONSTRUCTION SUPERVISOR,Construction Supervisor
Senior Copywriter,Senior Copywriter
C&S Resident Technical Officer (Part Time),Resident Technical Officer
"Process Engineer (West, Petrochemical/Chemical)",Process Engineer
Physiotherapist [TPY / AHPC],Physiotherapist Tpy Ahpc
Marketing Assistant,Marketing Assistant
"Work Place Experience, Senior Executive",Work Place Experience Senior Executive
Wellness Trainer,Wellness Trainer
"Backend Software Engineer, Trust and Safety Engineering",Backend Software Engineer Trust And Safety Engineering
Telesales Representative,Telesales Representative
MIS Manager,Mis Manager
Service Engineer (Refrigeration),Service Engineer
"Sales Engineer (Electronic Components, up to $5,000)",Sales Engineer
Warehouse Executive #65103,Warehouse Executive
Physiotherapist,Physiotherapist
Junior Account Manager (IT),Junior Account Manager
7506 - Interior Designer [ Eunos ],7506
Warehouse Assistant,Warehouse Assistant
Senior M&E Engineer,Senior Engineer
"Financial Services Advisory, Salesforce Developer, Associate to Senior Associate (6 Months Contract)",Financial Services Advisory Salesforce Developer Associate Senior Associate
Infrastructure Engineer- Linux,Infrastructure Engineer
Admin,Admin
Senior Payroll Executive,Senior Payroll Executive
Java Full Stack Developer,Java Stack Developer
Sport Events Executive,Sport Events Executive
Customer Care Consultant,Customer Care Consultant
Customer Service Officer (Call Centre) 1 Year Contract /  5.5 Days,Customer Service Officer Year Days
Assistant Finance Manager,Assistant Finance Manager
Sales Engineer,Sales Engineer
Software Engineer - Java (Exchange Platform - Trading Services),Software Engineer
Marketing Intern,Marketing Intern
Logistics Manager Global Travel Retail,Logistics Manager Global Travel Retail
CONSTRUCTION MANAGER,Construction Manager
"[Central]| Admin Assistant/Data Entry (Office Hour) | $1,800-$2,200",Central
Test Supporter,Test Supporter
Regional Account Director,Regional Account Director
"HR Manager ( Staff Well-Being Dept / Deg in Social Work , Psychology or Counselling ) #HMN",Hr Manager Staff Well
Blasting/Painting Manager - Middle East Opportunity,Blasting Painting Manager
Beautician,Beautician
Ocean Freight Export Coordinator | Jurong East| 0707,Ocean Freight Export Coordinator
Graduate Architect / Architectural Assistant,Graduate Architect Architectural Assistant
SALES MANAGER,Sales Manager
Executive – Retail Products,Executive Retail Products
Warehouse Assistant,Warehouse Assistant
Marine Superintendent (Maritime Industry),Marine Superintendent
Project Executive,Project Executive
Finance Business Partner (Must have FinTech Background),Finance Business Partner
Integrative Training Officer,Integrative Training Officer
Admin Officer,Admin Officer
CONSTRUCTION SUPERVISOR,Construction Supervisor
4301- Pastry Chef De Partie [F&B | Chef],4301
"Sales Manager (Pumps, Seals) / Oil & Gas MNC / West",Sales Manager Oil Gas Mnc West
Cyber Security Engineer (Endpoint),Cyber Security Engineer
"Logistics Assistant (Changi, Forklift)",Logistics Assistant
Manager – Securities Operation,Manager Securities Operation
Pharmacist (Ops+management) #HYS,Pharmacist
M&E Project Director,Project Director
Import Executive,Import Executive
Accounts Executive (Kaki Bukit)**$4500,Accounts Executive
RHEL Systems Engineer,Rhel Systems Engineer
CLEANING SUPERVISOR,Cleaning Supervisor
Freight Executive (Air & Sea) - SL,Freight Executive
Software Developer (Java),Software Developer
Assistant Executive,Assistant Executive
Database Engineer - Patching and Vulnerability Management,Database Engineer
Banking Branch Officer - Client Service Executive,Banking Branch Officer
"Cyber Security Operations (Financial Services) Senior Consultant, Technology Consulting",Cyber Security Operations Senior Consultant Technology Consulting
6154 - Marketing Executive ( Adobe Photoshop / Illustrator / Ubi ),6154
Supervisor,Supervisor
Accounts Executive,Accounts Executive
Purchasing Executive (North/ 5.5 days/ Food Trading/ JLPT 1),Purchasing Executive
Cleaning Supervisor,Cleaning Supervisor
Marketing Manager (Retail/FMCG) / Central / Global MNC,Marketing Manager Central Global Mnc
Warehouse Supervisor (Forklift) / Manufacturing Industry / West,Warehouse Supervisor Manufacturing Industry West
"Office Administrator, MNC",Office Administrator Mnc
Head Chef,Head Chef
Software Developer,Software Developer
Delivery Assistant,Delivery Assistant
$13 per hour / Temp Customer Service Officer / 4 Months Contract / West,Per Hour Temp Customer Service Officer Months West
MANAGEMENT TRAINEE SERVICE,Management Trainee Service
"Staff Nurse, Palliative / Geriatrics (East, Wards, Locum/Fulltime) #HHM",Staff Nurse Palliative Geriatrics
Admin Assistant (Science Industry) / End of Year Contract / Part time / Central / Global MNC,Admin Assistant End Of Year Central Global Mnc
"Trade Processing/Settlement Officer at Rafflesplace, up to $3000",Trade Processing Settlement Officer At Rafflesplace
